Product ID,Store ID,Stock Levels,Supplier Lead Time (days),Stockout Frequency,Reorder Point,Expiry Date,Warehouse Capacity,Order Fulfillment Time (days),Needs Reorder,Expiring Soon,High Stockout Risk,Low Warehouse Capacity,Alert
6253,51,967,3,7,183,2024-09-17,3882,3,False,True,False,False,True
2874,56,562,6,6,50,2024-07-24,1231,13,False,True,False,False,True
8145,83,609,23,9,151,2024-11-16,1264,14,False,True,False,False,True
9866,54,676,15,5,150,2024-09-24,2939,8,False,True,False,False,True
2712,49,145,25,6,134,2024-08-03,3682,7,False,True,False,False,True
7087,87,425,15,3,145,2024-11-10,2853,5,False,True,False,False,True
8203,23,921,8,19,84,2024-05-25,2266,7,False,True,True,False,True
8366,54,385,6,15,20,2024-01-04,2982,10,False,True,True,False,True
5230,38,953,5,7,145,2024-11-22,1480,12,False,True,False,False,True
9864,29,923,16,9,68,2024-12-26,1615,2,False,True,False,False,True
7639,31,929,8,9,50,2024-03-13,4225,6,False,True,False,False,True
9145,35,38,9,4,33,2024-10-14,4172,11,False,True,False,False,True
5233,56,425,23,15,160,2024-02-04,2891,8,False,True,True,False,True
5870,26,563,28,9,159,2024-09-23,1371,9,False,True,False,False,True
9091,46,89,7,3,57,2024-08-08,2051,10,False,True,False,False,True
9937,78,364,2,6,125,2024-03-17,2043,7,False,True,False,False,True
6460,23,821,27,2,47,2024-06-14,4237,4,False,True,False,False,True
8775,83,795,11,5,61,2024-08-13,2631,4,False,True,False,False,True
4573,51,867,18,7,56,2024-12-24,2851,14,False,True,False,False,True
3221,35,313,18,5,29,2024-06-08,4429,12,False,True,False,False,True
9949,85,392,11,2,48,2024-02-06,1801,1,False,True,False,False,True
1556,48,805,10,9,86,2024-10-06,1768,10,False,True,False,False,True
4413,23,843,17,17,173,2024-04-02,3216,13,False,True,True,False,True
8965,75,902,1,0,22,2024-08-06,3697,14,False,True,False,False,True
9649,36,152,16,9,99,2024-08-23,4274,13,False,True,False,False,True
9881,56,928,16,18,61,2024-08-24,1479,5,False,True,True,False,True
4752,49,812,20,13,34,2024-07-24,4641,14,False,True,True,False,True
1343,6,62,18,16,23,2024-11-05,2184,4,False,True,True,False,True
4719,87,945,1,1,21,2024-07-23,4010,7,False,True,False,False,True
2319,76,411,1,2,53,2024-08-24,1748,6,False,True,False,False,True
2721,49,453,15,7,176,2024-03-18,3226,5,False,True,False,False,True
4739,91,578,29,17,158,2024-06-28,2377,9,False,True,True,False,True
4561,18,649,4,7,88,2024-03-22,2536,13,False,True,False,False,True
1817,52,956,5,10,20,2024-09-26,4564,2,False,True,False,False,True
5253,36,304,3,7,145,2024-04-29,2159,12,False,True,False,False,True
4385,41,390,21,16,85,2024-11-28,3710,2,False,True,True,False,True
4841,38,554,12,2,93,2024-07-30,4691,13,False,True,False,False,True
4950,53,174,15,4,56,2024-01-21,3369,6,False,True,False,False,True
8511,40,836,18,4,38,2024-05-25,2882,14,False,True,False,False,True
1127,72,878,9,15,79,2024-03-17,4314,10,False,True,True,False,True
7036,50,56,25,10,183,2024-04-28,3126,13,True,True,False,False,True
5057,65,874,29,10,130,2024-07-22,4198,6,False,True,False,False,True
8492,39,710,17,16,39,2024-09-22,4976,13,False,True,True,False,True
2400,62,477,29,16,166,2024-10-17,2407,5,False,True,True,False,True
7185,53,674,11,4,90,2024-01-18,1833,13,False,True,False,False,True
8624,34,809,6,18,116,2024-09-12,2282,12,False,True,True,False,True
2502,69,301,22,6,124,2024-07-19,4029,4,False,True,False,False,True
6766,67,351,28,8,121,2024-10-04,2660,5,False,True,False,False,True
9719,88,746,12,13,102,2024-07-16,3267,9,False,True,True,False,True
3880,23,87,10,3,195,2024-04-27,1079,9,True,True,False,False,True
4674,93,567,8,13,91,2024-10-08,1181,10,False,True,True,False,True
2026,13,904,14,6,88,2024-04-05,4349,12,False,True,False,False,True
8214,49,31,15,10,44,2024-07-25,1178,14,True,True,False,False,True
4584,57,75,29,18,192,2024-07-21,1339,4,True,True,True,False,True
2841,52,814,11,15,118,2024-11-21,4246,13,False,True,True,False,True
6495,26,608,16,14,137,2024-05-04,4974,5,False,True,True,False,True
3254,24,409,4,6,20,2024-03-25,3090,1,False,True,False,False,True
8260,50,653,28,0,81,2024-01-22,1436,10,False,True,False,False,True
8146,31,156,10,0,146,2024-09-20,4636,4,False,True,False,False,True
7460,67,715,3,4,27,2024-03-17,1673,1,False,True,False,False,True
9470,70,816,10,18,172,2024-09-14,4324,9,False,True,True,False,True
4703,54,382,10,7,134,2024-10-28,2282,1,False,True,False,False,True
6788,56,436,29,4,170,2024-11-30,2186,4,False,True,False,False,True
8657,16,140,5,18,150,2024-06-01,4039,14,True,True,True,False,True
4553,55,353,10,13,148,2024-05-11,3099,3,False,True,True,False,True
1118,74,159,27,0,82,2024-08-24,2909,3,False,True,False,False,True
8767,25,883,22,9,188,2024-10-14,3797,4,False,True,False,False,True
2351,90,89,7,5,65,2024-07-17,3844,12,False,True,False,False,True
3647,69,841,4,15,26,2024-05-25,2435,8,False,True,True,False,True
2148,25,326,20,5,91,2024-12-15,2339,14,False,True,False,False,True
5592,84,774,22,19,133,2024-07-02,4312,13,False,True,True,False,True
3231,22,697,9,12,164,2024-07-23,3572,9,False,True,True,False,True
6637,51,325,16,14,180,2024-01-16,4360,4,False,True,True,False,True
4692,37,932,13,9,93,2024-04-27,2402,3,False,True,False,False,True
1834,14,346,29,18,10,2024-06-29,2828,9,False,True,True,False,True
8563,96,716,21,12,63,2024-09-25,3383,10,False,True,True,False,True
9305,6,286,19,19,40,2024-03-03,2497,7,False,True,True,False,True
3749,20,990,10,17,196,2024-12-12,2651,3,False,True,True,False,True
3122,82,284,10,5,96,2024-03-21,3525,10,False,True,False,False,True
1084,31,405,11,4,167,2024-04-29,4296,6,False,True,False,False,True
5407,28,990,25,3,85,2024-07-11,4354,13,False,True,False,False,True
1772,93,101,13,0,140,2024-03-17,2887,9,True,True,False,False,True
4467,79,617,8,18,93,2024-09-08,3574,13,False,True,True,False,True
4478,35,931,4,15,142,2024-03-27,2252,7,False,True,True,False,True
6828,24,102,16,9,28,2024-09-23,1191,8,False,True,False,False,True
4715,31,843,24,15,85,2024-06-05,1027,7,False,True,True,False,True
8746,98,770,28,14,10,2024-08-09,4118,13,False,True,True,False,True
2538,73,524,29,3,110,2024-04-30,2554,12,False,True,False,False,True
1884,74,864,17,18,116,2024-06-11,2781,10,False,True,True,False,True
3460,90,934,6,12,171,2024-09-14,1246,2,False,True,True,False,True
9261,44,558,12,10,168,2024-01-06,4907,11,False,True,False,False,True
1898,23,140,8,6,71,2024-07-18,2111,4,False,True,False,False,True
7684,52,216,9,5,56,2024-07-26,1519,7,False,True,False,False,True
7765,1,978,13,1,181,2024-01-02,2386,14,False,True,False,False,True
2944,77,759,27,11,197,2024-04-07,4663,4,False,True,True,False,True
2013,14,38,6,14,107,2024-11-12,4005,12,True,True,True,False,True
8260,13,493,29,11,42,2024-05-28,3823,8,False,True,True,False,True
1764,24,879,20,5,131,2024-08-09,3879,13,False,True,False,False,True
3831,84,388,7,17,47,2024-07-14,4437,10,False,True,True,False,True
9108,42,667,3,9,192,2024-12-30,3513,2,False,True,False,False,True
9119,36,190,22,6,181,2024-05-04,3132,6,False,True,False,False,True
7202,69,244,8,9,27,2024-07-31,1504,3,False,True,False,False,True
2487,1,159,17,6,111,2024-10-04,3471,6,False,True,False,False,True
2795,91,653,19,18,165,2024-11-19,1590,5,False,True,True,False,True
1285,12,60,12,3,65,2024-01-15,4964,12,True,True,False,False,True
9717,5,192,4,6,189,2024-02-28,3654,11,False,True,False,False,True
8059,5,368,9,13,110,2024-02-26,1581,10,False,True,True,False,True
8647,1,895,28,9,148,2024-10-01,2660,3,False,True,False,False,True
8377,59,894,14,16,151,2024-12-26,2515,3,False,True,True,False,True
4127,33,508,26,0,186,2024-07-06,1530,1,False,True,False,False,True
8116,41,822,22,12,15,2024-06-05,4106,4,False,True,True,False,True
3000,24,475,12,17,23,2024-11-23,1420,9,False,True,True,False,True
9885,29,285,22,5,197,2024-01-09,1683,1,False,True,False,False,True
9404,68,722,3,19,129,2024-02-22,1329,3,False,True,True,False,True
2644,22,836,2,5,72,2024-02-13,3615,1,False,True,False,False,True
7433,71,432,10,18,191,2024-03-05,1163,9,False,True,True,False,True
9840,71,157,22,9,141,2024-08-14,1319,3,False,True,False,False,True
3807,66,707,19,5,154,2024-04-09,1620,10,False,True,False,False,True
7569,9,796,25,19,179,2024-01-16,2298,5,False,True,True,False,True
1558,74,901,4,18,100,2024-09-22,3184,4,False,True,True,False,True
1804,49,917,12,3,58,2024-03-18,4628,14,False,True,False,False,True
9300,57,773,16,18,168,2024-03-25,4963,7,False,True,True,False,True
4199,68,846,4,19,172,2024-04-30,2056,11,False,True,True,False,True
6105,59,307,27,5,95,2024-09-26,3789,1,False,True,False,False,True
8670,27,744,8,12,33,2024-03-29,2585,9,False,True,True,False,True
5998,62,69,12,18,137,2024-06-26,2853,12,True,True,True,False,True
7394,38,732,16,18,71,2024-03-16,3701,2,False,True,True,False,True
7881,52,666,26,1,11,2024-09-15,4294,6,False,True,False,False,True
3335,4,649,19,10,187,2024-05-06,4176,11,False,True,False,False,True
7412,83,855,16,13,21,2024-01-13,4988,13,False,True,True,False,True
2185,49,783,19,14,144,2024-07-01,2298,4,False,True,True,False,True
2177,3,387,3,4,53,2024-11-02,4313,14,False,True,False,False,True
7407,75,190,7,8,20,2024-07-26,3284,14,False,True,False,False,True
8222,88,635,10,17,151,2024-12-23,2734,3,False,True,True,False,True
1673,24,782,24,5,112,2024-09-20,4813,7,False,True,False,False,True
1959,28,917,18,14,15,2024-08-26,2925,3,False,True,True,False,True
2896,29,677,2,13,98,2024-01-18,4921,8,False,True,True,False,True
9763,70,11,7,13,90,2024-10-16,3719,14,True,True,True,False,True
7989,34,966,12,12,19,2024-01-15,1616,8,False,True,True,False,True
1841,14,190,26,11,22,2024-02-28,1441,5,False,True,True,False,True
6967,2,272,12,17,48,2024-05-10,2862,11,False,True,True,False,True
5913,77,833,14,15,18,2024-11-16,4991,12,False,True,True,False,True
7949,53,387,14,7,82,2024-01-06,2171,2,False,True,False,False,True
6456,61,706,13,10,176,2024-12-23,4517,14,False,True,False,False,True
8234,62,31,5,19,47,2024-01-16,2905,13,True,True,True,False,True
5426,64,41,2,0,198,2024-07-28,1021,11,True,True,False,False,True
5907,1,601,24,15,128,2024-08-03,1294,6,False,True,True,False,True
1290,79,338,5,1,64,2024-01-18,4634,12,False,True,False,False,True
7426,18,931,24,2,147,2024-10-03,2434,11,False,True,False,False,True
5600,56,135,6,5,84,2024-06-03,4721,7,False,True,False,False,True
3952,84,10,15,9,131,2024-08-31,4673,10,True,True,False,False,True
7956,34,798,12,1,117,2024-07-31,1078,4,False,True,False,False,True
2828,66,647,17,16,189,2024-03-10,4244,12,False,True,True,False,True
6760,7,575,29,14,41,2024-10-07,3749,1,False,True,True,False,True
3626,7,495,25,4,189,2024-10-25,2225,3,False,True,False,False,True
8131,59,134,4,3,182,2024-06-17,1833,10,True,True,False,False,True
5497,71,374,6,4,184,2024-10-06,4674,4,False,True,False,False,True
9633,36,189,1,6,21,2024-03-17,3903,14,False,True,False,False,True
1575,86,259,6,8,154,2024-03-16,2620,1,False,True,False,False,True
2148,78,216,11,7,13,2024-08-02,1367,10,False,True,False,False,True
2483,9,829,22,1,120,2024-11-14,4189,3,False,True,False,False,True
9007,82,430,17,6,60,2024-04-09,1747,4,False,True,False,False,True
8416,68,722,26,14,56,2024-07-02,2165,7,False,True,True,False,True
9259,75,803,16,13,102,2024-11-28,4293,10,False,True,True,False,True
5428,15,294,19,16,18,2024-09-25,1268,4,False,True,True,False,True
6642,88,61,16,12,164,2024-04-06,2765,3,True,True,True,False,True
8416,20,257,27,8,166,2024-11-19,3337,6,False,True,False,False,True
9512,23,650,13,8,159,2024-06-25,2112,14,False,True,False,False,True
8893,93,555,3,1,88,2024-10-14,4674,14,False,True,False,False,True
1374,40,387,29,11,58,2024-12-22,3645,7,False,True,True,False,True
2943,1,555,27,18,83,2024-10-04,4644,6,False,True,True,False,True
2261,88,743,20,9,168,2024-01-14,1477,7,False,True,False,False,True
1630,19,532,26,11,23,2024-10-11,1533,8,False,True,True,False,True
8567,44,645,19,2,144,2024-06-29,1370,2,False,True,False,False,True
1978,75,489,22,3,39,2024-05-31,1687,2,False,True,False,False,True
4451,40,39,9,16,100,2024-07-08,1863,11,True,True,True,False,True
3592,95,925,25,10,25,2024-05-10,4266,3,False,True,False,False,True
4014,56,272,12,7,180,2024-05-13,2138,14,False,True,False,False,True
1127,53,294,24,11,149,2024-06-04,3856,10,False,True,True,False,True
1327,77,912,8,18,40,2024-10-11,4570,13,False,True,True,False,True
2876,78,481,16,4,105,2024-05-08,3725,14,False,True,False,False,True
4132,50,395,21,6,97,2024-10-22,2348,6,False,True,False,False,True
8041,3,685,23,10,76,2024-05-03,2565,13,False,True,False,False,True
2610,2,877,24,3,164,2024-12-23,3252,5,False,True,False,False,True
4584,97,439,15,7,196,2024-09-08,1209,12,False,True,False,False,True
6726,72,401,7,3,127,2024-11-30,1537,9,False,True,False,False,True
5623,25,192,18,15,33,2024-08-22,4196,13,False,True,True,False,True
6098,99,674,16,13,150,2024-01-02,3994,2,False,True,True,False,True
9571,57,521,14,11,35,2024-04-04,2166,6,False,True,True,False,True
3658,88,220,4,2,149,2024-11-06,2323,4,False,True,False,False,True
1100,47,479,26,9,42,2024-11-07,3295,1,False,True,False,False,True
5383,27,920,3,3,129,2024-09-12,3481,14,False,True,False,False,True
3309,34,312,18,18,110,2024-02-25,4879,3,False,True,True,False,True
7984,36,664,4,11,48,2024-12-25,4559,9,False,True,True,False,True
1429,22,581,15,8,48,2024-11-28,1725,10,False,True,False,False,True
6673,60,323,26,11,180,2024-11-21,2048,4,False,True,True,False,True
8514,34,788,8,4,37,2024-07-20,4642,10,False,True,False,False,True
3764,75,996,1,6,52,2024-04-01,1754,6,False,True,False,False,True
3117,5,160,5,2,195,2024-10-23,2053,7,True,True,False,False,True
2570,82,237,10,10,171,2024-12-28,1306,13,False,True,False,False,True
6299,89,755,3,18,134,2024-05-10,3104,2,False,True,True,False,True
4205,91,726,11,4,68,2024-05-08,1588,7,False,True,False,False,True
8018,95,403,20,0,178,2024-04-09,2827,10,False,True,False,False,True
3531,90,998,14,0,161,2024-11-14,1003,1,False,True,False,False,True
3733,59,960,1,18,55,2024-04-15,1207,9,False,True,True,False,True
8113,14,125,15,15,91,2024-03-19,4163,2,False,True,True,False,True
8877,18,442,29,5,68,2024-06-12,1624,11,False,True,False,False,True
9088,3,307,8,19,31,2024-09-09,3762,6,False,True,True,False,True
7362,39,700,18,7,60,2024-12-16,2373,6,False,True,False,False,True
1705,36,394,24,19,128,2024-03-10,4922,11,False,True,True,False,True
4113,5,313,17,2,191,2024-03-11,4864,2,False,True,False,False,True
4680,63,498,15,14,148,2024-01-09,1216,3,False,True,True,False,True
3629,25,414,15,0,16,2024-05-05,2824,7,False,True,False,False,True
6948,43,665,27,0,23,2024-12-01,4203,13,False,True,False,False,True
1009,62,625,3,0,55,2024-03-31,4668,3,False,True,False,False,True
5005,42,101,29,17,87,2024-12-09,2548,10,False,True,True,False,True
4964,2,17,5,1,171,2024-11-27,4785,11,True,True,False,False,True
7504,14,923,29,5,190,2024-01-13,2669,7,False,True,False,False,True
4009,93,743,1,19,91,2024-09-25,3365,14,False,True,True,False,True
2406,17,969,12,16,95,2024-03-02,3461,4,False,True,True,False,True
2269,99,549,25,18,51,2024-03-29,3797,2,False,True,True,False,True
7233,51,995,29,16,77,2024-09-10,3217,14,False,True,True,False,True
3473,42,696,15,8,143,2024-11-08,2833,14,False,True,False,False,True
7675,73,390,18,3,17,2024-11-14,2947,9,False,True,False,False,True
8791,32,861,24,10,50,2024-11-19,3034,7,False,True,False,False,True
5705,13,149,22,16,182,2024-03-17,3711,5,True,True,True,False,True
7741,8,397,12,9,184,2024-07-27,1882,11,False,True,False,False,True
6663,87,809,2,14,136,2024-06-05,2786,1,False,True,True,False,True
2493,13,467,5,12,38,2024-12-18,3099,11,False,True,True,False,True
3952,66,48,6,0,59,2024-10-10,3725,14,True,True,False,False,True
2769,27,453,9,10,95,2024-09-06,1870,9,False,True,False,False,True
6955,72,977,26,8,24,2024-12-11,3119,4,False,True,False,False,True
5920,83,888,19,12,192,2024-07-16,2354,3,False,True,True,False,True
3866,24,712,20,15,190,2024-09-28,3545,3,False,True,True,False,True
5496,85,950,14,14,35,2024-01-04,4847,8,False,True,True,False,True
4495,12,702,16,19,84,2024-01-12,2818,13,False,True,True,False,True
8778,32,431,24,9,75,2024-07-16,3347,14,False,True,False,False,True
9715,95,893,29,13,22,2024-05-25,2149,8,False,True,True,False,True
5187,75,385,5,13,70,2024-01-06,4631,12,False,True,True,False,True
7848,1,408,29,2,55,2024-03-05,3466,14,False,True,False,False,True
1980,26,238,25,3,152,2024-08-20,2534,6,False,True,False,False,True
3519,87,578,11,2,106,2024-07-21,3250,1,False,True,False,False,True
3763,83,243,5,17,79,2024-12-20,3626,8,False,True,True,False,True
6792,36,59,12,14,108,2024-08-21,1913,8,True,True,True,False,True
6305,98,142,11,0,141,2024-04-13,3626,9,False,True,False,False,True
4591,80,911,14,3,99,2024-02-17,4175,2,False,True,False,False,True
4061,67,816,16,18,112,2024-12-09,4744,9,False,True,True,False,True
5091,13,282,19,6,110,2024-12-27,2606,13,False,True,False,False,True
1312,70,510,4,5,106,2024-06-24,3162,5,False,True,False,False,True
3498,84,227,1,5,120,2024-05-08,4881,9,False,True,False,False,True
3269,77,974,18,13,183,2024-07-07,2721,12,False,True,True,False,True
1648,98,1,6,10,87,2024-04-19,3859,13,True,True,False,False,True
9550,49,42,29,16,25,2024-11-07,4369,2,False,True,True,False,True
1399,48,809,18,14,168,2024-04-07,2056,14,False,True,True,False,True
5115,73,56,20,7,111,2024-04-01,2131,8,True,True,False,False,True
8374,45,116,18,7,120,2024-03-15,2889,4,True,True,False,False,True
1724,26,631,26,3,37,2024-02-05,4490,4,False,True,False,False,True
4390,91,362,9,8,121,2024-08-02,3921,1,False,True,False,False,True
4507,98,508,6,19,56,2024-02-14,2425,11,False,True,True,False,True
5617,30,807,26,17,195,2024-11-20,3533,9,False,True,True,False,True
8119,67,927,14,3,171,2024-11-06,1366,8,False,True,False,False,True
3471,7,726,2,6,148,2024-03-04,4604,8,False,True,False,False,True
5856,22,461,26,11,107,2024-06-11,3163,13,False,True,True,False,True
